City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Sao Filipe,CV,79.18,overcast clouds,14.8961,-24.4956,Hotel Xaguate
9,Dzilam Gonzalez,MX,86.18,clear sky,21.2833,-88.9333,posadas
11,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Cabo San Lucas,MX,81.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
21,Gat,IL,81.28,broken clouds,31.61,34.7642,OlusHome
24,Dong Hoi,VN,80.98,overcast clouds,17.4833,106.6,Nam Long Hotel
25,Beroroha,MG,84.74,clear sky,-21.6667,45.1667,Dibbo areaمنطقة دبو
28,Praia Da Vitoria,PT,80.85,few clouds,38.7333,-27.0667,Hotel Branco I
29,Qesarya,IL,82.33,scattered clouds,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
30,Kapaa,US,78.1,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
36,Albany,US,77.95,broken clouds,42.6001,-73.9662,Dibbo areaمنطقة دبو
44,Monrovia,LR,80.37,broken clouds,6.3005,-10.7969,Sunset Inn
58,Bayir,TR,79.32,clear sky,37.2687,28.2167,Hotel Babadag
60,Hithadhoo,MV,82.54,broken clouds,-0.6,73.0833,Scoop Guest House
65,San Policarpo,PH,78.91,overcast clouds,12.1791,125.5072,Agapita M. Nicart
66,Calamar,CO,81.43,overcast clouds,10.2511,-74.9146,Hostal Katyalex
70,Georgetown,MY,83.89,light rain,5.4112,100.3354,Cititel Penang
72,Butaritari,KI,81.68,light rain,3.0707,172.7902,Isles Sunset Lodge
77,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
78,Buckeye,US,87.03,clear sky,33.3703,-112.5838,"Buckeye Motor Hotel- CALL FOR PRICING, AVAILABILITY & RESERVATIONS"
79,Celestun,MX,82.67,clear sky,20.8667,-90.4,Posada Lilia
80,Rangpur,BD,81.55,few clouds,25.75,89.25,Hotel Shah Amanat
81,Ribeira Grande,PT,81.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
93,Mount Pleasant,US,84.06,broken clouds,32.7941,-79.8626,Best Western Patriots Point
96,Pundaguitan,PH,83.84,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
97,Telchac,MX,86.49,clear sky,21.2,-89.2667,Daniel agullar
100,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
104,Ratnagiri,IN,77.63,overcast clouds,16.9833,73.3,Hotel Landmark
105,Omboue,GA,79.79,broken clouds,-1.5746,9.2618,Hotel Olako
107,Mirzapur,IN,78.76,moderate rain,25.15,82.5833,Hotel Yash Inn
114,High Rock,BS,87.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
115,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
118,Puerto Ayacucho,VE,86.63,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
122,Marzuq,YE,85.53,few clouds,14.4,46.4667,حيد القفلة
124,Alyangula,AU,77.49,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
125,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
126,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
127,Bo Phloi,TH,75.31,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
129,Sur,OM,84.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
132,Biak,ID,76.26,scattered clouds,-0.9131,122.8766,Penginapan Kim
134,Ban Dung,TH,81.1,overcast clouds,17.699,103.2596,Heuan Na Khee
135,Bethel,US,81.55,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
136,Katsuura,JP,80.38,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
137,Bojnurd,IR,80.55,clear sky,37.4747,57.329,Hotel negin bojnourd
141,Pervomayskoye,RU,84.87,few clouds,43.919,46.7102,Dibbo areaمنطقة دبو
145,Banda Aceh,ID,80.1,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
146,Acajutla,SV,81.32,broken clouds,13.5928,-89.8275,Laureles
150,Mayo,US,85.17,clear sky,38.8876,-76.5119,Resorts Resource Group International
152,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
157,Touros,BR,85.48,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
159,Orbetello,IT,75.22,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
160,Minggang,CN,76.8,overcast clouds,32.4586,114.0486,Yindu Hotel
162,Cajaruro,PE,85.19,light rain,-5.7364,-78.4256,Hotel Kuelap
169,Ponta Do Sol,PT,77.72,broken clouds,32.6667,-17.1,Hotel do Campo
170,Basco,PH,83.17,broken clouds,20.4487,121.9702,Nathaniel's Lodge
173,Zemio,CF,83.8,scattered clouds,5.0314,25.1361,OCHA Office
182,Banjar,ID,76.06,broken clouds,-8.19,114.9675,The Hamsa Resort
183,Russell,US,83.97,clear sky,32.3502,-85.1999,Macs
187,The Valley,AI,87.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
190,Stephenville,US,86.13,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
192,Ogawa,JP,81.18,light rain,36.05,139.2667,旅館ふじのや
195,Merauke,ID,78.98,broken clouds,-8.4667,140.3333,Dibbo areaمنطقة دبو
200,Shache,CN,79.72,clear sky,38.4167,77.2406,Delong Hotel
201,Maningrida,AU,78.67,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
202,Choctaw,US,86.41,few clouds,35.4976,-97.2689,Woodland Hills Mobile Home Prk
207,Kingsland,US,80.98,broken clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
211,Ternate,ID,81.55,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
212,Mumford,GH,75.02,light rain,5.2618,-0.759,Spanish Villa
213,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
215,Surt,LY,85.78,clear sky,31.2089,16.5887,فندق المدينة
216,Mattru,SL,79.2,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
220,Iracoubo,GF,87.04,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
221,Angoche,MZ,77.36,clear sky,-16.2325,39.9086,Guest House HESADA
226,Kayseri,TR,82.42,few clouds,38.737,35.4968,ibis Kayseri
227,Wilson,US,83.79,clear sky,36.1501,-86.2833,"Holiday Inn Express & Suites Lebanon-Nashville Area, an IHG Hotel"
229,Kalianget,ID,81.55,broken clouds,-7.05,113.9333,Pesanggrahan Garam
