City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bengkulu,ID,-3.8004,102.2655,75.6,89,98,5.82,overcast clouds
1,Saint-Augustin,CA,51.226,-58.6502,48.47,56,100,14.14,overcast clouds
2,Barrow,US,71.2906,-156.7887,39.22,93,75,8.05,broken clouds
3,Torbay,CA,47.6666,-52.7314,59.58,66,75,20.71,broken clouds
4,Ayr,GB,55.4627,-4.6339,63.32,77,20,5.75,few clouds
5,Ancud,CL,-41.8697,-73.8203,44.22,82,96,7.72,light rain
6,Sao Filipe,CV,14.8961,-24.4956,79.18,72,100,8.03,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,46.47,90,80,2.98,light rain
8,Vaini,TO,-21.2,-175.2,73.56,83,20,6.91,few clouds
9,Dzilam Gonzalez,MX,21.2833,-88.9333,86.18,62,8,3.31,clear sky
10,Mahebourg,MU,-20.4081,57.7,72.25,78,75,10.36,broken clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,56,0,9.22,clear sky
12,Cabo San Lucas,MX,22.8909,-109.9124,81.52,87,100,8.05,overcast clouds
13,Jamestown,US,42.097,-79.2353,65.01,75,100,10.36,heavy intensity rain
14,Rikitea,PF,-23.1203,-134.9692,72.48,76,58,16.71,light rain
15,Uusikaupunki,FI,60.8004,21.4084,53.92,80,89,15.01,overcast clouds
16,Korla,CN,41.7597,86.1469,74.79,17,1,5.48,clear sky
17,Tromso,NO,69.6496,18.957,43.38,75,40,13.8,scattered clouds
18,Zhigansk,RU,66.7697,123.3711,30.6,79,94,4.88,overcast clouds
19,Sobolevo,RU,54.4299,31.8996,50.81,84,100,18.28,overcast clouds
20,Longyearbyen,SJ,78.2186,15.6401,26.44,74,20,4.61,few clouds
21,Gat,IL,31.61,34.7642,81.28,100,81,8.95,broken clouds
22,Castro,BR,-24.7911,-50.0119,66.78,57,100,5.46,moderate rain
23,Talnakh,RU,69.4865,88.3972,30.29,79,69,16.62,broken clouds
24,Dong Hoi,VN,17.4833,106.6,80.98,82,98,4.72,overcast clouds
25,Beroroha,MG,-21.6667,45.1667,84.74,23,4,3.53,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,55.42,97,100,12.66,overcast clouds
27,Barraute,CA,48.4335,-77.6328,52.07,97,100,9.15,light rain
28,Praia Da Vitoria,PT,38.7333,-27.0667,80.85,74,20,8.28,few clouds
29,Qesarya,IL,32.5189,34.9046,82.33,61,36,10.31,scattered clouds
30,Kapaa,US,22.0752,-159.319,78.1,81,75,13.8,broken clouds
31,New Norfolk,AU,-42.7826,147.0587,45.72,76,99,2.8,overcast clouds
32,Kahului,US,20.8947,-156.47,77.85,74,40,6.91,scattered clouds
