City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Camabatela,AO,2022-09-12 18:26:38,-8.1881,15.375,73.72,52,91,1.03
1,Comodoro Rivadavia,AR,2022-09-12 18:26:39,-45.8667,-67.5,49.86,66,0,12.66
2,Calatayud,ES,2022-09-12 18:26:39,41.3535,-1.6432,77.09,51,98,5.57
3,Avarua,CK,2022-09-12 18:26:39,-21.2078,-159.775,75.25,78,75,10.36
4,Buala,SB,2022-09-12 18:22:31,-8.145,159.5921,78.37,80,56,5.01
5,Atuona,PF,2022-09-12 18:25:45,-9.8,-139.0333,76.28,78,50,20.24
6,Ushuaia,AR,2022-09-12 18:25:39,-54.8,-68.3,46.06,49,40,3.44
7,Cayenne,GF,2022-09-12 18:26:39,4.9333,-52.3333,87.84,58,20,10.36
8,Rikitea,PF,2022-09-12 18:26:40,-23.1203,-134.9692,72.63,70,88,4.52
9,Opuwo,NA,2022-09-12 18:21:45,-18.0607,13.84,76.69,16,6,6.17
10,Palm Coast,US,2022-09-12 18:26:40,29.585,-81.2078,95.02,63,40,5.75
11,Naze,JP,2022-09-12 18:26:40,28.3667,129.4833,81.52,86,99,16.13
12,Foumban,CM,2022-09-12 18:26:41,5.7291,10.9001,65.1,89,90,1.52
13,Faanui,PF,2022-09-12 18:23:36,-16.4833,-151.75,78.64,74,86,19.33
14,Kulhudhuffushi,MV,2022-09-12 18:26:41,6.6221,73.07,80.53,81,5,8.84
15,Kapaa,US,2022-09-12 18:26:41,22.0752,-159.319,80.92,86,40,8.05
16,Severo-Kurilsk,RU,2022-09-12 18:25:47,50.6789,156.125,54.05,71,100,3.2
17,Tuktoyaktuk,CA,2022-09-12 18:26:41,69.4541,-133.0374,39.2,93,100,10.36
18,Greenville,US,2022-09-12 18:26:42,35.6127,-77.3663,86.04,76,40,8.05
19,Busselton,AU,2022-09-12 18:26:42,-33.65,115.3333,58.33,87,92,20.31
20,Lagoa,PT,2022-09-12 18:23:06,39.05,-27.9833,71.47,78,73,10.11
21,Nikolskoye,RU,2022-09-12 18:26:42,59.7035,30.7861,55.87,74,90,3.47
22,Jamestown,US,2022-09-12 18:25:44,42.097,-79.2353,73.04,73,100,9.22
23,Port Pirie,AU,2022-09-12 18:26:43,-33.1833,138.0167,47.97,87,4,7.99
24,Prainha,BR,2022-09-12 18:26:43,-1.8,-53.48,95.52,34,10,3.51
25,Kousseri,CM,2022-09-12 18:26:43,12.0769,15.0306,87.76,70,20,5.75
26,Kruisfontein,ZA,2022-09-12 18:26:43,-34.0033,24.7314,50.88,71,0,10.58
27,Fairbanks,US,2022-09-12 18:22:16,64.8378,-147.7164,54.91,76,100,3.44
28,Xingtai,CN,2022-09-12 18:26:44,37.0631,114.4942,70.36,65,0,3.18
29,Punta Alta,AR,2022-09-12 18:26:44,-38.8759,-62.0736,65.1,33,6,5.3
30,Seoul,KR,2022-09-12 18:24:22,37.5683,126.9778,71.04,97,75,3.44
31,Punta Arenas,CL,2022-09-12 18:25:45,-53.15,-70.9167,50.11,43,0,16.11
32,Chuy,UY,2022-09-12 18:21:47,-33.6971,-53.4616,61.05,73,88,8.75
33,Hermanus,ZA,2022-09-12 18:25:41,-34.4187,19.2345,48.79,68,23,2.59
34,Mataura,NZ,2022-09-12 18:25:47,-46.1927,168.8643,38.55,98,99,2.39
35,Luderitz,NA,2022-09-12 18:22:43,-26.6481,15.1594,65.66,40,32,23.09
36,Bluff,NZ,2022-09-12 18:25:40,-46.6,168.3333,45.57,73,100,16.96
37,Lumeje,AO,2022-09-12 18:26:46,-11.55,20.7833,79.54,13,1,1.77
38,Batagay,RU,2022-09-12 18:21:48,67.6333,134.6333,31.23,93,56,6.17
39,Saint George,US,2022-09-12 18:26:46,37.1041,-113.5841,84.63,45,20,4.61
40,Broken Hill,AU,2022-09-12 18:26:46,-31.95,141.4333,48.92,79,21,9.51
41,Hilo,US,2022-09-12 18:23:20,19.7297,-155.09,82.26,71,20,5.75
42,Qaanaaq,GL,2022-09-12 18:25:44,77.484,-69.3632,38.03,96,100,5.37
43,Yerbogachen,RU,2022-09-12 18:26:46,61.2767,108.0108,47.34,89,100,2.98
44,Viedma,AR,2022-09-12 18:25:39,-40.8135,-62.9967,61.79,40,10,14.97
45,Barsovo,RU,2022-09-12 18:27:47,61.1667,73.1667,44.73,77,86,9.6
46,Pula,HR,2022-09-12 18:27:47,44.8683,13.8481,69.57,68,0,2.3
47,Provideniya,RU,2022-09-12 18:25:47,64.3833,-173.3,46.09,92,100,6.26
48,Longyearbyen,SJ,2022-09-12 18:22:55,78.2186,15.6401,35.44,80,75,12.66
49,Guerrero Negro,MX,2022-09-12 18:25:58,27.9769,-114.0611,78.71,66,0,9.28
50,Morant Bay,JM,2022-09-12 18:27:47,17.8815,-76.4093,87.42,71,99,8.63
51,Vaini,TO,2022-09-12 18:25:42,-21.2,-175.2,66.36,100,20,2.3
52,Lasa,IT,2022-09-12 18:27:27,46.6166,10.7002,61.68,56,60,3.29
53,Barrow,US,2022-09-12 18:27:48,71.2906,-156.7887,33.82,100,100,21.85
54,Zaykovo,RU,2022-09-12 18:27:48,57.5613,62.7568,45.43,71,92,3.56
55,Atambua,ID,2022-09-12 18:27:48,-9.1061,124.8925,70.2,82,82,4.41
56,Huarmey,PE,2022-09-12 18:27:49,-10.0681,-78.1522,66.47,70,74,11.9
57,Carnarvon,AU,2022-09-12 18:23:51,-24.8667,113.6333,68.07,83,75,17.27
58,Formosa,AR,2022-09-12 18:27:49,-26.1775,-58.1781,75.18,35,0,10.36
59,Quatre Cocos,MU,2022-09-12 18:24:28,-20.2078,57.7625,69.91,71,11,12.75
60,Talara,PE,2022-09-12 18:27:49,-4.5772,-81.2719,75.96,60,0,17.27
61,Cabo San Lucas,MX,2022-09-12 18:25:05,22.8909,-109.9124,91.18,62,0,6.91
62,Hithadhoo,MV,2022-09-12 18:24:51,-0.6,73.0833,82.27,71,3,9.19
63,Nouadhibou,MR,2022-09-12 18:25:33,20.931,-17.0347,76.98,73,35,18.41
64,Mehamn,NO,2022-09-12 18:27:50,71.0357,27.8492,42.71,81,75,2.3
65,Faya,SA,2022-09-12 18:27:50,18.3851,42.4509,77.11,27,100,7.11
66,Port Elizabeth,ZA,2022-09-12 18:27:50,-33.918,25.5701,57.31,70,0,16.11
67,Praia Da Vitoria,PT,2022-09-12 18:27:50,38.7333,-27.0667,75.76,83,40,13.82
68,Pisco,PE,2022-09-12 18:25:28,-13.7,-76.2167,65.01,72,20,11.5
69,Bereda,ES,2022-09-12 18:27:51,43.2686,-7.5406,76.41,56,100,4.61
70,Nelson Bay,AU,2022-09-12 18:24:10,-32.7167,152.15,57.0,82,75,10.0
71,Yellowknife,CA,2022-09-12 18:23:12,62.456,-114.3525,48.72,57,75,4.61
72,Chicama,PE,2022-09-12 18:27:51,-7.8447,-79.1469,61.34,57,61,11.05
73,Ribeira Grande,PT,2022-09-12 18:25:07,38.5167,-28.7,72.0,94,75,5.75
74,Nizwa,OM,2022-09-12 18:27:51,22.9333,57.5333,92.91,28,53,9.55
75,Vanavara,RU,2022-09-12 18:27:52,60.34,102.2797,45.88,98,100,2.91
76,Saint-Philippe,RE,2022-09-12 18:27:52,-21.3585,55.7679,67.59,73,43,9.66
77,Lazaro Cardenas,MX,2022-09-12 18:25:46,17.9583,-102.2,80.2,80,100,0.74
78,Prata,BR,2022-09-12 18:27:07,-19.3072,-48.9242,98.38,12,28,9.78
79,Isangel,VU,2022-09-12 18:27:52,-19.55,169.2667,74.86,80,14,7.96
80,Cape Town,ZA,2022-09-12 18:25:44,-33.9258,18.4232,57.34,62,0,11.5
81,Lebu,CL,2022-09-12 18:27:53,-37.6167,-73.65,54.16,62,84,7.45
82,Ginir,ET,2022-09-12 18:27:53,7.1333,40.7,64.4,68,100,4.92
83,Lata,PT,2022-09-12 18:27:53,40.1629,-8.3327,72.91,82,100,10.22
84,Yar-Sale,RU,2022-09-12 18:23:19,66.8333,70.8333,44.65,93,100,14.99
85,Albany,US,2022-09-12 18:25:41,42.6001,-73.9662,76.17,79,100,0.83
86,Khatanga,RU,2022-09-12 18:25:46,71.9667,102.5,33.55,72,39,6.6
87,Kiunga,PG,2022-09-12 18:27:53,-6.1219,141.2906,72.25,99,100,1.88
88,Coihaique,CL,2022-09-12 18:27:54,-45.5752,-72.0662,52.41,62,100,3.44
89,Maturin,VE,2022-09-12 18:28:54,9.75,-63.1767,88.27,58,70,8.75
90,Daru,PG,2022-09-12 18:28:54,-9.0763,143.2092,78.17,86,69,13.53
91,Pacific Grove,US,2022-09-12 18:28:55,36.6177,-121.9166,78.35,81,0,10.36
92,Dwarka,IN,2022-09-12 18:24:57,22.2394,68.9678,82.33,84,100,15.88
93,Ahipara,NZ,2022-09-12 18:27:56,-35.1667,173.1667,56.44,83,98,9.62
94,Bonavista,CA,2022-09-12 18:28:55,48.6499,-53.1147,58.05,98,100,19.73
95,Kodiak,US,2022-09-12 18:25:40,57.79,-152.4072,54.91,88,75,9.22
96,Tiksi,RU,2022-09-12 18:25:16,71.6872,128.8694,33.31,80,41,5.26
97,Portoferraio,IT,2022-09-12 18:28:55,42.8115,10.3146,77.16,83,0,0.0
98,Chokurdakh,RU,2022-09-12 18:28:55,70.6333,147.9167,38.79,89,100,8.5
99,La Asuncion,VE,2022-09-12 18:28:56,11.0333,-63.8628,84.81,68,96,14.25
100,Esperance,AU,2022-09-12 18:28:56,-33.8667,121.9,61.79,63,45,13.13
101,Bathsheba,BB,2022-09-12 18:24:56,13.2167,-59.5167,90.21,66,40,13.8
102,Torbay,CA,2022-09-12 18:28:56,47.6666,-52.7314,61.75,98,100,9.22
103,Saint-Augustin,CA,2022-09-12 18:28:57,51.226,-58.6502,72.86,42,0,8.55
104,Ostrovnoy,RU,2022-09-12 18:28:57,68.0531,39.5131,45.28,94,93,11.86
105,Natal,BR,2022-09-12 18:27:33,-5.795,-35.2094,86.22,58,20,23.02
106,Lavrentiya,RU,2022-09-12 18:25:09,65.5833,-171.0,44.37,99,100,6.24
107,Port Alfred,ZA,2022-09-12 18:28:57,-33.5906,26.891,57.87,63,6,16.49
108,Harper,LR,2022-09-12 18:28:57,4.375,-7.7169,76.53,82,98,9.19
109,Iqaluit,CA,2022-09-12 18:28:58,63.7506,-68.5145,49.73,70,75,17.27
110,Haines Junction,CA,2022-09-12 18:28:58,60.7522,-137.5108,42.75,70,40,1.14
111,Nacala,MZ,2022-09-12 18:28:58,-14.5428,40.6728,73.45,79,34,6.49
112,Ponta Delgada,PT,2022-09-12 18:28:58,37.7333,-25.6667,75.92,60,20,10.36
113,Winnemucca,US,2022-09-12 18:26:13,40.973,-117.7357,77.05,36,75,12.66
114,Dire Dawa,ET,2022-09-12 18:28:59,9.5931,41.8661,76.71,57,88,12.57
115,Ayacucho,PE,2022-09-12 18:28:59,-13.1583,-74.2239,76.86,11,20,5.75
116,Lieksa,FI,2022-09-12 18:28:59,63.3167,30.0167,53.94,70,100,7.14
117,Igarka,RU,2022-09-12 18:29:00,67.4667,86.5833,32.41,91,80,6.55
118,Altay,CN,2022-09-12 18:29:00,47.8667,88.1167,48.18,43,31,3.76
119,Dromolaxia,CY,2022-09-12 18:29:00,34.8761,33.586,82.72,68,20,3.44
120,Wanning,CN,2022-09-12 18:29:00,18.8003,110.3967,77.49,85,0,3.85
121,Mar Del Plata,AR,2022-09-12 18:25:43,-38.0023,-57.5575,59.02,83,0,11.99
122,Karratha,AU,2022-09-12 18:29:01,-20.7377,116.8463,69.66,69,0,7.78
123,Matamoros,MX,2022-09-12 18:29:01,25.5333,-103.25,82.11,42,40,3.44
124,Georgetown,MY,2022-09-12 18:25:46,5.4112,100.3354,80.89,89,20,5.75
125,Paso De Los Toros,UY,2022-09-12 18:29:01,-32.8167,-56.5167,63.23,55,0,4.54
126,Laguna,US,2022-09-12 18:29:01,38.421,-121.4238,84.97,47,0,6.91
127,Soure,BR,2022-09-12 18:28:01,-0.7167,-48.5233,86.41,63,10,11.68
128,Pribinic,BA,2022-09-12 18:29:02,44.6106,17.6906,57.61,67,6,3.8
129,Havre-Saint-Pierre,CA,2022-09-12 18:29:02,50.2334,-63.5986,64.76,82,0,10.36
130,Port Hardy,CA,2022-09-12 18:29:02,50.6996,-127.4199,55.58,94,100,3.44
131,Vallenar,CL,2022-09-12 18:29:03,-28.5708,-70.7581,71.58,25,0,9.55
132,San Jeronimo,PE,2022-09-12 18:29:03,-11.9472,-75.2829,67.39,34,70,7.07
133,Krasnoslobodsk,RU,2022-09-12 18:29:03,48.7072,44.5714,62.42,59,0,15.66
134,Hofn,IS,2022-09-12 18:29:04,64.2539,-15.2082,51.82,87,100,4.61
135,Kem,RU,2022-09-12 18:29:04,64.9555,34.5793,50.63,76,100,5.57
136,Ponta Do Sol,PT,2022-09-12 18:27:31,32.6667,-17.1,79.0,79,87,13.67
137,Rocha,UY,2022-09-12 18:30:04,-34.4833,-54.3333,59.83,69,57,9.37
138,Coolum Beach,AU,2022-09-12 18:30:05,-26.5333,153.1,54.1,84,1,6.73
139,Abay,KZ,2022-09-12 18:30:05,49.6311,72.8539,34.18,54,6,6.08
140,Bredasdorp,ZA,2022-09-12 18:25:45,-34.5322,20.0403,48.99,79,29,6.33
141,Bilma,NE,2022-09-12 18:30:06,18.6853,12.9164,96.73,14,6,8.55
142,Beloha,MG,2022-09-12 18:30:06,-25.1667,45.05,64.83,96,9,5.12
143,Wahiawa,US,2022-09-12 18:30:06,21.5028,-158.0236,77.86,81,100,0.0
144,Kudahuvadhoo,MV,2022-09-12 18:30:07,2.6708,72.8944,81.66,74,20,8.21
145,Puerto Ayora,EC,2022-09-12 18:30:07,-0.7393,-90.3518,75.16,90,89,7.0
146,Kahului,US,2022-09-12 18:30:08,20.8947,-156.47,82.98,65,0,10.36
147,Eureka,US,2022-09-12 18:30:08,40.8021,-124.1637,72.18,85,73,4.0
148,Thompson,CA,2022-09-12 18:30:08,55.7435,-97.8558,53.76,58,75,11.5
149,Castro,BR,2022-09-12 18:30:09,-24.7911,-50.0119,60.1,97,100,2.04
150,Arraial Do Cabo,BR,2022-09-12 18:30:09,-22.9661,-42.0278,71.56,78,100,14.97
151,New Norfolk,AU,2022-09-12 18:25:48,-42.7826,147.0587,40.5,83,26,3.27
152,Ucluelet,CA,2022-09-12 18:30:10,48.9329,-125.5528,64.09,80,64,6.4
153,Victoria,HK,2022-09-12 18:30:09,22.2855,114.1577,87.33,66,2,6.62
154,Soe,ID,2022-09-12 18:30:10,-9.8607,124.284,62.15,84,11,4.14
155,Pevek,RU,2022-09-12 18:26:39,69.7008,170.3133,35.02,95,65,7.05
156,College,US,2022-09-12 18:30:10,64.8569,-147.8028,54.9,74,100,3.44
157,Dingle,PH,2022-09-12 18:29:07,10.9995,122.6711,74.97,89,34,3.09
158,Warmbad,NA,2022-09-12 18:30:11,-28.45,18.7333,63.73,12,0,9.62
159,Gambela,ET,2022-09-12 18:30:11,8.25,34.5833,70.68,97,100,3.94
160,Linxia,CN,2022-09-12 18:30:12,35.6003,103.2064,55.99,83,4,2.21
161,Hobart,AU,2022-09-12 18:30:12,-42.8794,147.3294,40.86,82,75,6.91
162,Valdemarpils,LV,2022-09-12 18:28:21,57.3707,22.5919,47.86,89,24,3.06
163,Pangody,RU,2022-09-12 18:30:12,65.85,74.4859,42.71,90,100,10.85
164,Sutysky,UA,2022-09-12 18:30:13,49.0425,28.4173,48.9,94,100,9.28
165,Bubaque,GW,2022-09-12 18:30:13,11.2833,-15.8333,80.13,79,79,13.09
166,Calvinia,ZA,2022-09-12 18:30:13,-31.4707,19.776,52.7,28,0,4.81
167,Padang,ID,2022-09-12 18:30:14,-0.9492,100.3543,77.27,86,100,3.0
168,Geraldton,AU,2022-09-12 18:30:14,-28.7667,114.6,63.01,88,75,17.27
169,San Rafael,AR,2022-09-12 18:30:15,-34.6177,-68.3301,66.15,19,0,7.56
170,Kihei,US,2022-09-12 18:30:15,20.785,-156.4656,83.97,71,0,10.36
171,Corowa,AU,2022-09-12 18:30:15,-36.0333,146.3833,39.42,90,0,5.01
172,Praia,CV,2022-09-12 18:30:16,14.9215,-23.5087,80.1,79,99,14.14
173,Komsomolskiy,UZ,2022-09-12 18:30:16,40.4272,71.7189,57.92,77,13,4.61
174,Constitucion,CL,2022-09-12 18:26:37,-35.3333,-72.4167,55.44,66,50,6.93
175,Souillac,MU,2022-09-12 18:25:44,-20.5167,57.5167,70.18,73,75,6.91
176,Meulaboh,ID,2022-09-12 18:30:16,4.1363,96.1285,75.6,90,100,5.12
177,Dharchula,IN,2022-09-12 18:30:17,29.85,80.5333,67.55,89,12,2.57
178,Malmesbury,ZA,2022-09-12 18:30:17,-33.4608,18.7271,53.78,83,0,7.52
179,San Martin,AR,2022-09-12 18:30:17,-33.081,-68.4681,68.54,14,0,5.14
180,Doha,QA,2022-09-12 18:30:18,25.2867,51.5333,94.89,61,0,4.61
181,Bocanda,CI,2022-09-12 18:30:18,7.0626,-4.4995,75.33,87,69,2.95
182,Oshkosh,US,2022-09-12 18:31:18,44.0247,-88.5426,60.87,95,100,11.5
183,Beringovskiy,RU,2022-09-12 18:31:19,63.05,179.3167,43.86,65,31,13.98
184,Sao Joao Da Barra,BR,2022-09-12 18:31:19,-21.6403,-41.0511,73.49,72,25,11.7
185,Fuerte Olimpo,PY,2022-09-12 18:31:19,-21.0415,-57.8738,78.82,35,100,9.69
186,Klaksvik,FO,2022-09-12 18:31:20,62.2266,-6.589,50.92,97,97,18.07
187,Upernavik,GL,2022-09-12 18:23:37,72.7868,-56.1549,41.11,95,100,5.35
188,Eirunepe,BR,2022-09-12 18:31:20,-6.6603,-69.8736,94.35,39,83,3.98
189,Aklavik,CA,2022-09-12 18:30:44,68.2191,-135.0107,41.0,100,75,3.44
190,Sola,VU,2022-09-12 18:31:21,-13.8833,167.55,79.05,78,0,18.25
191,Athabasca,CA,2022-09-12 18:31:21,54.7169,-113.2854,59.41,24,11,6.35
192,Vanimo,PG,2022-09-12 18:25:49,-2.6741,141.3028,76.59,91,96,6.22
193,Zyryanka,RU,2022-09-12 18:31:21,65.75,150.85,38.86,97,100,13.71
194,Aketi,CD,2022-09-12 18:31:22,2.7388,23.7833,71.96,91,100,0.98
195,Samarinda,ID,2022-09-12 18:31:22,-0.5,117.15,73.06,98,98,0.83
196,Ha Giang,VN,2022-09-12 18:31:23,22.8333,104.9833,74.32,98,100,0.85
197,Yatou,CN,2022-09-12 18:31:23,37.15,122.3833,66.85,86,100,5.44
198,Clyde River,CA,2022-09-12 18:25:43,70.4692,-68.5914,41.23,93,100,8.05
